Mu,Sigma,Sharpe,Beta,AAPL,BAC,CCL,CSGP,F,GIS,HAS,INTC,PFE,SNAP,T,XOM
12.69,36.49,0.35,0.72,11.32,2.34,1.14,16.79,1.72,37.97,1.95,4.93,6.37,1.09,2.29,12.09
13.21,44.1,0.3,0.91,5.44,2.65,0.77,43.16,5.1,1.59,2.05,3.68,10.94,1.81,7.71,15.1
12.71,41.94,0.3,0.88,31.65,2.13,3.78,10.3,5.18,5.09,2.65,6.59,11.8,1.5,1.39,17.93
12.46,40.73,0.31,0.81,20.25,0.45,4.28,5.31,10.03,11.47,15.78,2.56,12.34,0.52,7.48,9.54
13.15,41.51,0.32,0.79,3.02,3.82,0.57,15.35,4.32,17.85,41.57,3.53,0.87,2.9,1.6,4.59
12.97,41.53,0.31,0.89,2.5,8.74,2.36,28.76,2.41,12.92,18.62,8.44,12.96,1.07,0.19,1.03
12.87,42.83,0.3,0.94,38.55,4.8,2.66,9.46,3.89,0.55,6.25,12.74,2.11,2.21,13.47,3.3
13.75,45.34,0.3,0.89,18.76,0.96,10.14,24.21,2.59,15.33,20.43,3.71,1.3,0.7,0.84,1.03
12.55,42.32,0.3,0.88,21.07,4.58,3.21,20.8,0.35,6.61,1.49,6.1,15.23,2.17,6.08,12.3
12.44,41.76,0.3,0.94,29.0,1.08,0.15,5.25,31.13,2.14,14.26,5.63,7.59,0.01,2.44,1.32
12.46,41.32,0.3,0.96,7.77,14.8,1.49,29.09,1.88,4.59,4.92,16.12,7.65,0.28,9.68,1.74
13.14,39.1,0.34,0.93,37.58,4.27,1.03,5.84,1.56,6.28,1.5,25.21,7.86,0.94,1.51,6.44
13.14,40.61,0.32,0.79,9.48,0.83,1.92,13.17,0.65,7.32,32.35,2.85,8.52,1.72,16.82,4.38
12.61,40.64,0.31,0.8,28.95,4.29,2.62,2.52,4.55,14.13,17.7,1.37,2.88,2.31,6.25,12.42
13.06,41.46,0.31,0.83,6.07,1.46,2.68,12.94,0.16,12.22,33.43,15.64,6.68,2.05,5.39,1.29
12.85,39.07,0.33,0.85,3.32,5.35,0.23,13.33,8.17,5.46,30.0,11.5,16.67,0.04,1.52,4.41
12.65,42.02,0.3,0.94,9.32,10.37,3.32,32.0,3.59,6.34,1.15,7.61,18.3,0.35,0.03,7.64
12.75,42.84,0.3,0.86,24.86,0.97,1.88,20.88,3.57,16.49,1.6,6.41,8.07,3.53,4.57,7.17
13.66,44.46,0.31,0.91,8.77,3.5,2.35,28.72,4.52,2.88,29.08,6.68,4.27,1.97,4.57,2.69
13.11,37.38,0.35,0.84,23.27,7.96,0.31,4.45,0.36,1.14,25.14,7.34,13.56,0.45,11.1,4.93
12.75,41.45,0.31,0.87,8.98,7.69,1.36,28.59,2.3,15.53,5.69,7.27,6.66,1.6,3.59,10.75
12.93,43.66,0.3,0.94,4.85,9.66,3.24,40.32,1.7,0.74,1.63,5.51,10.49,0.52,4.93,16.42
12.84,38.05,0.34,0.78,9.11,9.63,2.25,18.43,0.11,25.99,16.8,1.37,3.67,0.59,10.71,1.36
12.51,38.38,0.33,0.82,28.7,10.2,0.55,2.02,0.34,15.51,18.17,3.35,8.05,2.58,4.03,6.49
12.49,40.53,0.31,0.88,27.61,6.81,3.56,5.57,4.2,10.33,6.66,14.98,3.4,0.63,3.53,12.73
12.64,35.53,0.36,0.75,25.92,4.59,0.13,4.96,5.46,34.7,7.51,0.9,10.26,1.68,1.14,2.77
12.69,42.32,0.3,0.92,29.38,11.1,2.81,5.66,10.6,2.24,20.75,5.49,0.09,0.87,0.84,10.16
12.99,43.77,0.3,0.91,5.49,5.68,3.6,39.4,8.54,11.86,3.52,3.17,1.76,0.4,14.03,2.56
12.57,40.73,0.31,0.89,17.76,0.69,3.05,12.54,3.53,4.17,1.67,22.2,13.26,0.2,0.92,20.01
12.58,40.45,0.31,0.84,12.85,2.67,2.12,9.27,2.93,1.53,20.76,13.28,7.59,0.62,19.69,6.7
12.48,41.67,0.3,0.9,34.48,4.12,8.95,4.87,2.58,4.1,4.47,6.61,19.13,0.04,9.27,1.38
12.52,40.5,0.31,0.8,30.54,1.39,6.93,1.16,0.85,17.44,6.72,7.25,7.83,1.06,1.56,17.27
13.31,44.56,0.3,0.91,0.26,0.77,6.0,34.63,0.77,3.07,14.15,16.94,2.4,0.02,15.22,5.77
12.55,41.85,0.3,0.9,10.24,3.24,4.17,9.38,5.08,5.65,20.07,25.13,4.86,0.13,4.4,7.67
12.57,41.49,0.3,0.87,36.36,2.95,1.33,1.8,6.06,10.05,12.27,8.51,7.95,3.37,0.36,8.97
12.62,36.41,0.35,0.7,10.21,1.08,0.66,8.89,3.24,22.1,18.01,1.88,1.16,0.33,30.55,1.9
12.67,41.57,0.3,0.84,18.31,0.7,0.08,1.2,14.93,0.71,36.42,4.9,7.55,1.92,7.74,5.56
13.13,42.84,0.31,0.88,16.68,4.41,5.57,29.86,1.16,6.67,2.45,0.0,13.06,0.57,7.24,12.33
12.6,41.56,0.3,0.91,28.58,9.88,1.16,17.46,2.2,4.17,4.51,6.55,5.0,2.1,17.31,1.08
12.63,38.71,0.33,0.81,27.73,4.58,2.98,12.3,0.67,17.95,1.99,0.45,16.4,1.57,10.86,2.52
12.77,40.3,0.32,0.83,34.28,2.1,4.78,6.59,1.85,0.4,6.37,2.78,2.19,0.25,33.87,4.55
13.55,42.35,0.32,0.89,29.01,2.57,4.73,11.76,0.8,2.01,20.57,9.3,4.45,1.07,11.4,2.32
13.87,40.01,0.35,0.88,33.12,2.86,2.42,12.56,3.7,2.31,15.09,6.38,5.81,0.09,11.29,4.37
12.65,38.66,0.33,0.84,11.72,6.1,1.47,21.81,6.69,17.0,6.73,0.5,22.65,0.5,2.84,1.97
13.5,44.45,0.3,0.91,30.6,3.32,5.45,15.31,1.98,1.15,18.28,5.62,3.83,1.92,2.13,10.42
14.89,44.55,0.33,0.97,11.53,0.01,0.13,55.68,0.19,0.34,2.91,8.49,4.55,1.84,0.02,14.32
12.47,38.55,0.32,0.87,28.73,8.42,1.76,7.42,2.9,11.68,0.7,13.26,6.53,0.45,7.39,10.77
13.45,39.66,0.34,0.94,41.44,15.42,2.42,15.43,1.6,1.86,3.99,0.26,3.97,0.14,5.54,7.93
13.45,39.51,0.34,0.85,30.2,3.89,2.15,14.23,2.18,8.02,11.25,2.3,5.49,0.7,18.16,1.44
12.6,42.02,0.3,0.76,12.65,1.01,3.94,3.14,2.34,3.91,29.34,3.34,0.47,1.62,0.56,37.69
12.5,41.67,0.3,0.81,15.31,3.43,1.27,17.23,1.2,1.18,9.9,2.08,1.8,1.68,21.74,23.2
13.31,40.98,0.32,0.83,32.59,2.22,5.74,8.49,4.8,17.49,13.16,0.85,3.36,0.84,3.76,6.7
12.52,37.51,0.33,0.8,19.4,9.27,0.69,11.79,6.03,20.22,10.12,0.61,6.76,0.52,12.76,1.82
12.7,41.71,0.3,0.82,6.56,0.86,4.76,8.06,1.0,5.75,35.12,9.68,12.71,1.38,11.41,2.72
12.87,41.84,0.31,0.85,27.68,0.07,1.71,11.89,8.29,2.24,10.85,0.84,10.43,1.77,10.71,13.52
13.87,41.78,0.33,0.86,29.05,0.16,6.23,7.35,2.42,1.33,31.91,0.03,14.3,0.76,3.54,2.92
13.94,40.36,0.35,0.82,13.17,0.14,0.81,5.28,1.86,1.2,53.25,9.46,1.4,1.75,11.29,0.4
12.88,40.59,0.32,0.93,57.21,10.79,3.07,0.32,2.07,1.61,1.4,2.2,7.01,2.47,3.55,8.27
13.08,40.86,0.32,0.88,20.06,2.57,5.33,11.33,0.36,4.96,14.31,15.03,15.27,0.03,1.33,9.41
12.54,41.94,0.3,0.94,3.08,16.84,0.08,36.27,0.5,0.6,8.77,5.11,14.3,1.34,4.13,8.98
13.0,38.92,0.33,0.84,20.08,4.12,1.45,14.24,4.81,17.18,6.91,13.27,1.16,0.15,10.0,6.63
12.71,40.12,0.32,0.83,29.39,3.57,7.08,4.65,0.08,3.57,13.35,0.63,16.47,0.06,18.82,2.32
14.14,44.0,0.32,0.93,17.62,1.57,5.9,38.58,1.95,2.99,5.97,1.82,9.88,0.06,4.95,8.7
13.71,40.9,0.34,0.85,12.28,1.2,1.01,12.87,11.36,7.62,37.66,7.79,2.45,0.44,3.68,1.66
13.63,44.79,0.3,0.93,10.31,1.49,0.73,43.52,7.02,3.36,4.24,3.93,5.85,2.04,4.23,13.28
13.42,44.26,0.3,0.96,10.83,3.71,2.72,39.77,7.62,8.53,4.23,8.61,10.2,1.28,1.16,1.34
13.96,45.68,0.31,0.95,26.75,0.56,5.06,34.13,3.68,6.06,6.11,4.6,2.01,2.04,7.38,1.63
12.49,39.15,0.32,0.8,21.65,6.28,1.16,1.66,1.11,1.85,19.46,4.43,8.47,1.27,4.91,27.75
13.25,44.19,0.3,0.83,9.27,1.72,9.29,18.76,1.14,16.1,28.78,1.66,4.7,0.91,1.32,6.35
13.05,43.98,0.3,0.85,14.28,2.46,5.99,21.11,1.83,9.63,16.68,3.77,1.12,1.31,8.63,13.18
12.78,41.82,0.31,0.92,29.62,6.77,1.49,18.08,17.29,3.58,3.44,0.02,2.2,0.01,15.25,2.25
13.04,38.9,0.34,0.89,30.71,12.45,0.43,14.24,0.17,11.82,6.97,7.7,2.78,1.3,8.38,3.06
12.63,40.07,0.32,0.85,23.93,2.32,1.49,4.44,0.95,7.23,17.94,10.93,18.75,2.59,0.86,8.56
13.77,40.29,0.34,0.87,4.42,2.16,1.27,40.08,5.98,15.58,6.83,3.33,15.37,0.01,4.35,0.61
12.9,42.87,0.3,0.86,32.11,3.54,0.28,15.26,3.14,11.32,9.27,2.79,0.71,4.27,7.61,9.7
13.18,38.23,0.34,0.83,29.27,2.4,2.56,10.64,0.22,21.3,0.52,14.62,3.02,0.61,5.26,9.59
12.66,38.73,0.33,0.89,31.74,7.37,0.47,7.5,9.5,13.08,4.19,10.01,10.43,0.82,0.81,4.08
12.74,41.46,0.31,0.89,31.21,1.15,2.12,1.64,14.31,8.1,13.06,15.09,0.75,0.81,0.56,11.2
14.11,41.73,0.34,0.92,5.34,2.0,0.11,31.11,5.48,3.53,24.97,16.42,5.66,0.33,2.06,2.99
13.17,40.51,0.33,0.88,14.68,0.55,2.55,21.49,5.04,13.8,6.59,16.15,14.93,0.47,0.09,3.67
12.66,42.32,0.3,0.89,9.37,12.99,1.96,28.81,4.17,3.18,8.8,0.53,5.86,0.58,2.91,20.84
13.51,42.09,0.32,0.92,41.03,1.55,6.57,7.58,1.58,1.72,3.48,14.14,2.99,0.02,1.7,17.63
13.37,44.38,0.3,0.95,12.73,10.63,3.69,41.65,0.35,8.88,4.77,4.1,2.37,1.63,7.61,1.57
13.74,45.08,0.3,0.97,4.2,5.9,0.86,49.09,4.64,2.61,11.28,4.0,10.6,2.26,1.07,3.5
13.12,39.39,0.33,0.92,19.63,14.84,0.3,28.85,3.01,12.71,3.52,1.97,11.24,0.7,1.65,1.59
12.96,42.62,0.3,0.93,21.43,17.79,1.05,12.66,2.79,2.29,36.78,1.09,0.02,2.74,1.1,0.27
12.61,42.61,0.3,0.81,6.43,1.82,4.69,27.73,3.38,11.29,0.92,2.07,1.95,0.31,10.92,28.47
12.56,38.88,0.32,0.8,7.44,8.49,0.59,14.77,4.48,12.72,20.28,3.18,4.32,0.38,14.2,9.15
14.64,41.3,0.35,0.85,8.53,0.62,1.64,27.23,4.06,4.98,35.87,3.45,3.91,0.12,2.71,6.89
13.9,39.03,0.36,0.78,6.1,3.86,1.59,26.22,2.28,24.2,23.88,0.04,2.65,0.45,1.39,7.32
12.47,41.09,0.3,0.89,16.92,8.2,1.43,12.65,0.59,0.21,16.84,10.16,18.6,1.95,1.51,10.95
13.03,41.11,0.32,0.95,30.08,6.57,0.2,6.5,7.56,3.81,16.56,22.22,1.15,1.4,1.54,2.4
12.58,38.37,0.33,0.71,9.71,3.02,6.51,0.13,1.35,34.05,31.95,4.08,0.73,0.66,7.77,0.03
12.95,41.35,0.31,0.86,47.45,6.67,10.16,2.6,0.02,19.63,0.36,0.3,0.35,0.73,0.69,11.04
13.19,38.18,0.35,0.8,18.29,3.51,0.55,21.26,9.56,29.41,2.62,2.64,2.17,0.38,2.27,7.34
12.76,42.83,0.3,0.87,1.98,3.46,1.39,13.24,2.33,4.35,35.43,22.0,1.69,2.31,2.15,9.67
12.53,37.54,0.33,0.83,16.81,5.36,0.08,2.71,3.91,15.08,14.4,23.48,1.03,0.39,3.29,13.47
13.34,38.65,0.35,0.84,18.7,3.51,0.86,11.11,0.74,18.5,17.83,19.49,3.03,1.09,0.77,4.38
12.92,41.47,0.31,0.88,8.9,8.49,3.43,24.85,1.76,11.08,15.23,6.26,11.65,0.73,4.52,3.1
